Potential,Current
1.1553,-0.0000000016112
1.1603,-0.00000000032286
1.1652,-0.00000000000078654
1.1703,0.00000000322
1.1752,0.00000000096545
1.1801,-0.0000000016112
1.1853,-0.00000000064494
1.1902,0.00000000064337
1.1952,0.0000000035421
1.2004,-0.00000000000078654
1.2052,-0.00000000064494
1.2102,0.00000000032129
1.215,-0.00000000000078654
1.2203,0.0000000028979
1.2251,0.00000000096545
1.2302,-0.0000000012891
1.2353,0.00000000032129
1.2402,0.0000000012875
1.2454,0.00000000322
1.2503,0.00000000096545
1.2551,-0.00000000000078654
1.2603,0.00000000096545
1.2653,0.0000000028979
1.2703,0.0000000051525
1.2751,0.0000000028979
1.28,-0.00000000032286
1.2854,0.0000000028979
1.2902,0.0000000038641
1.2952,0.0000000064408
1.3002,0.0000000038641
1.3053,0.0000000022538
1.3102,0.0000000041862
1.3153,0.0000000061187
1.3203,0.0000000080512
1.325,0.0000000061187
1.3301,0.0000000051525
1.3353,0.0000000070849
1.3403,0.0000000086953
1.3453,0.000000011594
1.3503,0.0000000096615
1.3555,0.0000000093395
1.3604,0.000000011916
1.3654,0.000000013849
1.3707,0.000000017069
1.3751,0.000000016103
1.3805,0.000000017391
1.3856,0.000000019002
1.3907,0.000000023511
1.3955,0.000000026732
1.4007,0.00000002641
1.4056,0.000000028986
1.4105,0.000000032207
1.4157,0.000000038649
1.4207,0.000000042513
1.4258,0.000000044446
1.4307,0.000000049599
1.4357,0.00000005443
1.4404,0.000000063771
1.4458,0.000000069568
1.4507,0.000000074077
1.4555,0.000000084384
1.4609,0.000000090825
1.4656,0.00000010596
1.4706,0.00000011434
1.4755,0.00000012432
1.4806,0.00000014236
1.486,0.00000015234
1.4908,0.00000017972
1.4957,0.0000001926
1.5007,0.00000021128
1.5056,0.00000024317
1.5108,0.00000026056
1.5158,0.00000030468
1.5206,0.00000032369
1.5257,0.00000035879
1.5306,0.0000004158
1.5356,0.0000004435
1.5405,0.00000051726
1.5456,0.00000054914
1.5509,0.00000060969
1.5556,0.00000070986
1.5605,0.0000007572
1.566,0.00000087927
1.5706,0.00000092823
1.5757,0.0000010271
1.5808,0.000001183
1.5856,0.0000012619
1.5907,0.0000014458
1.5954,0.0000015289
1.6006,0.0000016751
1.6054,0.000001916
1.6106,0.0000020349
1.6156,0.0000023099
1.6206,0.0000024265
1.6257,0.0000026552
1.6307,0.000002986
1.6356,0.000003157
1.64,0.0000035074
1.6457,0.0000036984
1.6507,0.000004005
1.6557,0.0000044237
1.661,0.0000046672
1.6657,0.0000051049
1.6706,0.0000053706
1.6759,0.0000057616
1.6807,0.0000062306
1.6858,0.0000065636
1.6905,0.0000070706
1.6957,0.0000074123
1.7006,0.0000078667
1.7057,0.0000084185
1.711,0.0000088288
1.716,0.000009396
1.7208,0.0000098282
1.7258,0.000010363
1.7307,0.000010943
1.7359,0.000011442
1.7409,0.000012057
1.7457,0.000012575
1.7508,0.000013164
1.7559,0.000013799
1.7606,0.000014349
1.7658,0.000015029
1.7709,0.000015599
1.776,0.000016234
1.7807,0.000016907
1.7859,0.000017529
1.7908,0.000018228
1.796,0.000018876
1.8006,0.000019549
1.8058,0.000020261
1.8109,0.000020941
1.8159,0.000021667
1.8212,0.000022366
1.826,0.000023065
1.8309,0.000023797
1.8359,0.000024522
1.841,0.00002526
1.8459,0.000026005
1.8507,0.000026717
1.8558,0.000027501
1.8609,0.00002822
1.8658,0.000029003
1.8707,0.000029767
1.8756,0.000030525
1.881,0.000031315
1.8859,0.000032079
1.8908,0.000032882
1.896,0.000033665
1.9009,0.000034449
1.9057,0.000035245
1.911,0.000036035
1.916,0.000036864
1.9208,0.000037648
1.9263,0.000038483
1.931,0.000039293
1.9357,0.000040095
1.9409,0.000040924
1.9459,0.000041747
1.9507,0.00004255
1.9558,0.000043411
1.9606,0.00004422
1.9658,0.000045049
1.9707,0.000045891
1.9757,0.000046726
1.981,0.000047568
1.9858,0.000048403
1.9906,0.000049271
1.996,0.000050093
2.0002,0.000050864
1.9958,0.000050029
1.9902,0.000049174
1.9853,0.000048345
1.9801,0.000047484
1.9752,0.000046636
1.9703,0.000045813
1.9655,0.000044991
1.9604,0.000044143
1.9553,0.00004332
1.9502,0.000042511
1.9453,0.000041701
1.9403,0.00004086
1.9353,0.000040044
1.9304,0.000039221
1.9256,0.000038412
1.9204,0.000037596
1.9153,0.000036787
1.9104,0.000035997
