Time,Potential
6.4009,1.6006
6.4209,1.6054
6.4409,1.6106
6.4609,1.6156
6.4809,1.6206
6.5009,1.6257
6.5209,1.6307
6.5409,1.6356
6.5609,1.64
6.5809,1.6457
6.6009,1.6507
6.6209,1.6557
6.6409,1.661
6.6609,1.6657
6.6809,1.6706
6.7009,1.6759
6.7209,1.6807
6.7409,1.6858
6.7609,1.6905
6.7809,1.6957
6.8009,1.7006
6.8209,1.7057
6.8409,1.711
6.8609,1.716
6.8809,1.7208
6.9009,1.7258
6.9209,1.7307
6.9409,1.7359
6.9609,1.7409
6.9809,1.7457
7.0009,1.7508
7.0209,1.7559
7.0409,1.7606
7.0609,1.7658
7.0809,1.7709
7.1009,1.776
7.1209,1.7807
7.1409,1.7859
7.1609,1.7908
7.1809,1.796
7.2009,1.8006
7.2209,1.8058
7.2409,1.8109
7.2609,1.8159
7.2809,1.8212
7.3009,1.826
7.3209,1.8309
7.3409,1.8359
7.3609,1.841
7.3809,1.8459
7.4009,1.8507
7.4209,1.8558
7.4409,1.8609
7.4609,1.8658
7.4809,1.8707
7.5009,1.8756
7.5209,1.881
7.5409,1.8859
7.5609,1.8908
7.5809,1.896
7.6009,1.9009
7.6209,1.9057
7.6409,1.911
7.6609,1.916
7.6809,1.9208
7.7009,1.9263
7.7209,1.931
7.7409,1.9357
7.7609,1.9409
7.7809,1.9459
7.8009,1.9507
7.8209,1.9558
7.8409,1.9606
7.8609,1.9658
7.8809,1.9707
7.9009,1.9757
7.9209,1.981
7.9409,1.9858
7.9609,1.9906
7.9809,1.996
8.0009,2.0002
8.0209,1.9958
8.0409,1.9902
8.0609,1.9853
8.0809,1.9801
8.1009,1.9752
8.1209,1.9703
8.1409,1.9655
8.1609,1.9604
8.1809,1.9553
8.2009,1.9502
8.2209,1.9453
8.2409,1.9403
8.2609,1.9353
8.2809,1.9304
8.3009,1.9256
8.3209,1.9204
8.3409,1.9153
8.3609,1.9104
8.3809,1.9054
8.4009,1.9005
8.4209,1.8955
8.4409,1.8903
8.4609,1.885
8.4809,1.8805
8.5009,1.8755
8.5209,1.8703
8.5409,1.8653
8.5609,1.8602
8.5809,1.8556
8.6009,1.8503
8.6209,1.8456
8.6409,1.8403
8.6609,1.8357
8.6809,1.8305
8.7009,1.8253
8.7209,1.8207
8.7409,1.8158
8.7609,1.8103
8.7809,1.8056
8.8009,1.8008
8.8209,1.7952
8.8409,1.7908
8.8609,1.7851
8.8809,1.7804
8.9009,1.7754
8.9209,1.7701
8.9409,1.7655
8.9609,1.7603
8.9809,1.7553
9.0009,1.7502
9.0209,1.7451
9.0409,1.7407
9.0609,1.7353
9.0809,1.7303
9.1009,1.7254
9.1209,1.7204
9.1409,1.7155
9.1609,1.7104
9.1809,1.7053
9.2009,1.7002
9.2209,1.6952
9.2409,1.6903
9.2609,1.6851
9.2809,1.6803
9.3009,1.6752
9.3209,1.6703
9.3409,1.6652
9.3609,1.6603
9.3809,1.6551
9.4009,1.6498
9.4209,1.6452
9.4409,1.6403
9.4609,1.6351
9.4809,1.6302
9.5009,1.625
9.5209,1.6202
9.5409,1.6151
9.5609,1.6103
9.5809,1.605
9.6009,1.5997
9.6209,1.5952
9.6409,1.5901
9.6609,1.5851
9.6809,1.5802
9.7009,1.5753
9.7209,1.5702
9.7409,1.5652
9.7609,1.5603
9.7809,1.555
9.8009,1.5501
9.8209,1.545
9.8409,1.54
9.8609,1.5351
9.8809,1.53
9.9009,1.5251
9.9209,1.5201
9.9409,1.5154
9.9609,1.5104
9.9809,1.5051
10.0009,1.5005
10.0209,1.4953
10.0409,1.4901
10.0609,1.4856
10.0809,1.48
10.1009,1.4753
10.1209,1.4701
10.1409,1.4654
10.1609,1.46
10.1809,1.4551
10.2009,1.4502
10.2209,1.4449
10.2409,1.4404
10.2609,1.4356
10.2809,1.4299
10.3009,1.425
10.3209,1.4201
10.3409,1.4152
10.3609,1.41
10.3809,1.4051
10.4009,1.3999
10.4209,1.3947
10.4409,1.3898
10.4609,1.3851
10.4809,1.38
10.5009,1.375
10.5209,1.3699
10.5409,1.365
10.5609,1.36
10.5809,1.3551
10.6009,1.3498
10.6209,1.3447
10.6409,1.34
10.6609,1.3348
10.6809,1.3299
10.7009,1.3246
10.7209,1.3197
10.7409,1.315
10.7609,1.3098
10.7809,1.3045
10.8009,1.2996
10.8209,1.2949
10.8409,1.2899
10.8609,1.2848
10.8809,1.2796
10.9009,1.2747
10.9209,1.2697
10.9409,1.2646
10.9609,1.2594
10.9809,1.2549
11.0009,1.2498
11.0209,1.2447
11.0409,1.2397
11.0609,1.2349
11.0809,1.2296
11.1009,1.2248
11.1209,1.2199
11.1409,1.2149
11.1609,1.2097
11.1809,1.2048
11.2009,1.1999
11.2209,1.1948
11.2409,1.1898
11.2609,1.1849
11.2809,1.1797
11.3009,1.1749
11.3209,1.1696
11.3409,1.1647
11.3609,1.1598
11.3809,1.1549
11.4009,1.1497
11.4209,1.1455
11.4409,1.1398
11.4609,1.1345
11.4809,1.1298
11.5009,1.1247
11.5209,1.1198
11.5409,1.1147
11.5609,1.1099
11.5809,1.1048
11.6009,1.0993
11.6209,1.0947
11.6409,1.0896
11.6609,1.0846
11.6809,1.0797
11.7009,1.0745
11.7209,1.0699
11.7409,1.0648
11.7609,1.0599
11.7809,1.0549
11.8009,1.05
11.8209,1.0449
11.8409,1.0396
11.8609,1.0347
11.8809,1.0297
11.9009,1.025
11.9209,1.0197
11.9409,1.0147
11.9609,1.0099
11.9809,1.0049
12.0009,0.9997
12.0209,0.99466
12.0409,0.98975
12.0609,0.98471
12.0809,0.9798
12.1009,0.97476
12.1209,0.96985
12.1409,0.96481
12.1609,0.95977
12.1809,0.95499
12.2009,0.94995
12.2209,0.94452
12.2409,0.94
12.2609,0.9347
12.2809,0.92992
12.3009,0.92475
12.3209,0.91971
12.3409,0.91454
12.3609,0.90963
12.3809,0.90472
12.4009,0.89981
12.4209,0.8949
12.4409,0.8896
12.4609,0.88482
12.4809,0.88016
12.5009,0.87512
12.5209,0.86983
12.5409,0.86479
12.5609,0.85962
12.5809,0.85496
12.6009,0.8498
12.6209,0.84476
12.6409,0.83972
12.6609,0.83442
12.6809,0.83002
12.7009,0.82485
12.7209,0.81956
12.7409,0.81503
12.7609,0.80974
12.7809,0.8047
12.8009,0.79978
12.8209,0.79474
12.8409,0.78983
12.8609,0.78467
12.8809,0.77911
12.9009,0.77471
12.9209,0.76942
12.9409,0.76464
12.9609,0.7596
12.9809,0.75468
13.0009,0.74977
13.0209,0.74473
13.0409,0.73957
13.0609,0.73465
13.0809,0.72974
13.1009,0.72445
13.1209,0.71966
13.1409,0.71462
13.1609,0.70984
13.1809,0.70467
13.2009,0.69963
13.2209,0.69446
13.2409,0.68942
13.2609,0.68464
13.2809,0.67973
13.3009,0.67469
13.3209,0.66901
13.3409,0.66461
13.3609,0.65957
13.3809,0.65453
13.4009,0.64936
13.4209,0.64445
13.4409,0.63941
13.4609,0.63437
13.4809,0.62959
13.5009,0.62494
13.5209,0.61938
13.5409,0.6146
13.5609,0.60956
13.5809,0.60452
13.6009,0.59961
13.6209,0.59444
13.6409,0.58979
13.6609,0.58449
13.6809,0.57958
13.7009,0.57467
13.7209,0.5695
13.7409,0.56459
13.7609,0.55968
13.7809,0.5549
13.8009,0.54934
13.8209,0.54443
13.8409,0.53939
13.8609,0.53461
13.8809,0.52957
13.9009,0.52453
13.9209,0.51936
13.9409,0.51458
13.9609,0.50967
13.9809,0.5045
14.0009,0.49946
14.0209,0.49468
14.0409,0.48977
14.0609,0.48473
14.0809,0.47943
14.1009,0.47465
14.1209,0.46935
14.1409,0.46431
14.1609,0.45979
14.1809,0.45449
14.2009,0.44971
14.2209,0.44441
14.2409,0.4395
14.2609,0.43459
14.2809,0.42968
14.3009,0.42464
14.3209,0.41973
14.3409,0.41469
14.3609,0.40939
14.3809,0.40461
14.4009,0.3997
14.4209,0.3944
14.4409,0.38975
14.4609,0.38458
14.4809,0.37967
14.5009,0.3745
14.5209,0.36946
14.5409,0.36468
14.5609,0.35964
14.5809,0.35486
14.6009,0.34969
14.6209,0.34504
14.6409,0.33961
14.6609,0.33457
14.6809,0.32953
14.7009,0.32475
14.7209,0.31984
14.7409,0.31493
14.7609,0.31014
14.7809,0.30459
14.8009,0.29968
14.8209,0.2949
14.8409,0.28973
14.8609,0.28456
14.8809,0.27991
14.9009,0.27474
14.9209,0.26995
14.9409,0.26479
14.9609,0.25949
14.9809,0.25458
15.0009,0.24928
15.0209,0.2445
15.0409,0.23933
15.0609,0.23442
15.0809,0.22951
15.1009,0.22421
15.1209,0.21981
15.1409,0.21439
15.1609,0.20961
15.1809,0.20431
15.2009,0.19953
15.2209,0.19462
15.2409,0.18958
15.2609,0.18466
15.2809,0.17975
15.3009,0.17484
15.3209,0.1698
15.3409,0.16489
15.3609,0.15985
15.3809,0.15507
15.4009,0.1499
15.4209,0.14499
15.4409,0.13995
15.4609,0.13491
15.4809,0.12987
15.5009,0.12496
15.5209,0.12005
15.5409,0.11501
15.5609,0.10997
15.5809,0.10493
15.6009,0.10028
15.6209,0.094982
15.6409,0.090329
15.6609,0.08529
15.6809,0.079862
15.7009,0.07521
15.7209,0.070041
