Time,Potential
0.00115,0.000423179153585806
0.05115,0.00431587360799313
0.10115,0.00919464975595474
0.15115,0.0142054921016097
0.20115,0.0192725453525782
0.25115,0.0243158768862486
0.30115,0.0292201638221741
0.35115,0.0343146286904812
0.40115,0.0393177159130573
0.45115,0.0443857200443745
0.50115,0.049353051930666
0.55115,0.0543371438980103
0.60115,0.0593092180788517
0.65115,0.064350314438343
0.70115,0.0693057551980019
0.75115,0.0742266699671745
0.80115,0.0792501419782639
0.85115,0.0843510553240776
0.90115,0.0893893614411354
0.95115,0.0943451747298241
1.00115,0.0993679687380791
1.05115,0.104355812072754
1.10115,0.109323926270008
1.15115,0.114242881536484
1.20115,0.119244992733002
1.25115,0.124254465103149
1.30115,0.129276216030121
1.35115,0.134325280785561
1.40115,0.139333382248878
1.45115,0.144344463944435
1.50115,0.14936026930809
1.55115,0.154327154159546
1.60115,0.159313872456551
1.65115,0.164197847247124
1.70115,0.169098526239395
1.75115,0.174078747630119
1.80115,0.178989008069038
1.85115,0.18406917154789
1.90115,0.189052000641823
1.95115,0.19394938647747
2.00115,0.198926270008087
2.05115,0.203914642333984
2.10115,0.208806499838829
2.15115,0.213852718472481
2.20115,0.218921184539795
2.25115,0.223848596215248
2.30115,0.22883865237236
2.35115,0.233841821551323
2.40115,0.238875284790993
2.45115,0.243744447827339
2.50115,0.248889833688736
2.55115,0.253968775272369
2.60115,0.259012937545776
2.65115,0.264022886753082
2.70115,0.269108295440674
2.75115,0.274002254009247
2.80115,0.279045641422272
2.85115,0.284082919359207
2.90115,0.289111912250519
2.95115,0.294173181056976
3.00115,0.299273759126663
3.05115,0.30428072810173
3.10115,0.309207260608673
3.15115,0.314140617847443
3.20115,0.319067507982254
3.25115,0.324077397584915
3.30115,0.329012364149094
3.35115,0.334012985229492
3.40115,0.339003413915634
3.45115,0.343957185745239
3.50115,0.349054783582687
3.55115,0.354022234678268
3.60115,0.358898222446442
3.65115,0.363954216241837
3.70115,0.368928104639053
3.75115,0.373934090137482
3.80115,0.378977835178375
3.85115,0.383995980024338
3.90115,0.389046937227249
3.95115,0.394041895866394
4.00115,0.398959159851074
4.05115,0.403963804244995
4.10115,0.408901572227478
4.15115,0.413914442062378
4.20115,0.418921232223511
4.25115,0.423951029777527
4.30115,0.428952217102051
4.35115,0.433909386396408
4.40115,0.438916921615601
4.45115,0.443846195936203
4.50115,0.448894113302231
4.55115,0.453912526369095
4.60115,0.458918780088425
4.65115,0.463987439870834
4.70115,0.468996971845627
4.75115,0.47393599152565
4.80115,0.478873074054718
4.85115,0.48392191529274
4.90115,0.488908290863037
4.95115,0.493867635726929
5.00115,0.498801827430725
5.05115,0.503734946250916
5.10115,0.508747577667236
5.15115,0.513754546642303
5.20115,0.51885586977005
5.25115,0.523886203765869
5.30115,0.528808891773224
5.35115,0.533893644809723
5.40115,0.538894712924957
5.45115,0.54382735490799
5.50115,0.548919379711151
5.55115,0.553933501243591
5.60115,0.5589559674263
5.65115,0.563952267169952
5.70115,0.569051921367645
5.75115,0.573945581912994
5.80115,0.578957974910736
5.85115,0.583975315093994
5.90115,0.588922381401062
5.95115,0.593887627124786
6.00115,0.598821222782135
6.05115,0.603770434856415
6.10115,0.608804225921631
6.15115,0.613805115222931
6.20115,0.618799805641174
6.25115,0.62379664182663
6.30115,0.628877341747284
6.35115,0.633828461170197
6.40115,0.638828635215759
6.45115,0.643877863883972
6.50115,0.648764669895172
6.55115,0.653930604457855
6.60115,0.658776879310608
6.65115,0.663902282714844
6.70115,0.668949127197266
6.75115,0.673861026763916
6.80115,0.678896844387054
6.85115,0.683905601501465
6.90115,0.688934981822968
6.95115,0.693919897079468
7.00115,0.698817372322083
7.05115,0.70397561788559
7.10115,0.708921372890472
7.15115,0.713943243026733
7.20115,0.718933939933777
7.25115,0.723875761032104
7.30115,0.72891104221344
7.35115,0.73385226726532
7.40115,0.73887050151825
7.45115,0.743957161903381
7.50115,0.748894572257996
7.55115,0.745571911334991
7.60115,0.740519762039185
7.65115,0.735546886920929
7.70115,0.730629980564117
7.75115,0.725600898265839
7.80115,0.720692992210388
7.85115,0.715786814689636
7.90115,0.71069473028183
7.95115,0.705664694309235
8.00115,0.700631737709045
8.05115,0.695627808570862
8.10115,0.690524458885193
8.15115,0.685600101947784
8.20115,0.680569648742676
8.25115,0.675594806671143
8.30115,0.670527040958405
8.35115,0.665665030479431
8.40115,0.660524487495422
8.45115,0.65556526184082
8.50115,0.650607824325562
8.55115,0.645601511001587
8.60115,0.640394747257233
8.65115,0.635561227798462
8.70115,0.630560457706451
8.75115,0.625562429428101
8.80115,0.620526432991028
8.85115,0.615511119365692
8.90115,0.610553026199341
8.95115,0.605575203895569
9.00115,0.600549221038818
9.05115,0.595549702644348
9.10115,0.590554594993591
9.15115,0.585697948932648
9.20115,0.580646812915802
9.25115,0.575747907161713
9.30115,0.570714831352234
9.35115,0.565633177757263
9.40115,0.560686051845551
9.45115,0.555653214454651
9.50115,0.550714373588562
9.55115,0.545620441436768
9.60115,0.540596306324005
9.65115,0.535627245903015
9.70115,0.530533492565155
9.75115,0.52554577589035
9.80115,0.520542442798615
9.85115,0.515481054782867
9.90115,0.510537207126617
9.95115,0.505555152893066
10.00115,0.500578284263611
10.05115,0.495606988668442
10.10115,0.490667343139648
10.15115,0.485652327537537
10.20115,0.480659931898117
10.25115,0.475724250078201
10.30115,0.470766127109528
10.35115,0.465677678585052
10.40115,0.46073305606842
10.45115,0.455644696950912
10.50115,0.450647175312042
10.55115,0.445672035217285
10.60115,0.440617442131042
